domain,estimand,detection_profile,action_delay_fraction,residual_contact_multiplier,system_family,effect,source_artifact,observation_profile,method,rewiring_fraction,epidemic_model,disease_regime,mapping,contrast,endpoint
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,0.0010416666666666,results/EXP-20260817-001/full/relative_family_summary.csv,,,0.0,SIR,high,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,-0.0020833333333333,results/EXP-20260817-001/full/relative_family_summary.csv,,,1.0,SIR,high,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0020833333333333,results/EXP-20260817-001/full/relative_family_summary.csv,,,0.0,SIR,high,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0020833333333333,results/EXP-20260817-001/full/relative_family_summary.csv,,,1.0,SIR,high,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,0.0020833333333333,results/EXP-20260817-001/full/relative_family_summary.csv,,,0.0,SIR,low,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,0.0020833333333333,results/EXP-20260817-001/full/relative_family_summary.csv,,,1.0,SIR,low,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0020833333333333,results/EXP-20260817-001/full/relative_family_summary.csv,,,0.0,SIR,low,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0041666666666666,results/EXP-20260817-001/full/relative_family_summary.csv,,,1.0,SIR,low,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,-0.0020833333333333,results/EXP-20260817-001/full/relative_family_summary.csv,,,0.0,SIR,middle,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,0.0031249999999999,results/EXP-20260817-001/full/relative_family_summary.csv,,,1.0,SIR,middle,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0104166666666666,results/EXP-20260817-001/full/relative_family_summary.csv,,,0.0,SIR,middle,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0135416666666666,results/EXP-20260817-001/full/relative_family_summary.csv,,,1.0,SIR,middle,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,0.0041666666666666,results/EXP-20260817-003/full/relative_family_summary.csv,,,0.0,SEIR/Erlang,high,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,0.0072916666666666,results/EXP-20260817-003/full/relative_family_summary.csv,,,1.0,SEIR/Erlang,high,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0,results/EXP-20260817-003/full/relative_family_summary.csv,,,0.0,SEIR/Erlang,high,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0166666666666666,results/EXP-20260817-003/full/relative_family_summary.csv,,,1.0,SEIR/Erlang,high,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,0.0020833333333333,results/EXP-20260817-003/full/relative_family_summary.csv,,,0.0,SEIR/Erlang,low,,,
epidemic_regime,detected_contacts_over_history,delayed_detection,,,domestic_sheep_sirtrack,0.003125,results/EXP-20260817-003/full/relative_family_summary.csv,,,1.0,SEIR/Erlang,low,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0010416666666666,results/EXP-20260817-003/full/relative_family_summary.csv,,,0.0,SEIR/Erlang,low,,,
epidemic_regime,detected_contacts_over_history,early_detection,,,domestic_sheep_sirtrack,0.0052083333333333,results/EXP-20260817-003/full/relative_family_summary.csv,,,1.0,SEIR/Erlang,low,,,
